Role ID;Key skills
ROLE-1;Java, MySQL, PostgreSQL, Python
ROLE-2;Java, MongoDB, REST, Spring Boot, SQL
ROLE-3;Java, Spring Boot
ROLE-4;Hibernate, Java, Oracle, Spring Framework, SQL
ROLE-5;Java, Concurrent Programming, Hibernate, Manual Testing, RabbitMQ, Spring Framework
ROLE-6;Angular, Hibernate, Java, Spring Framework
ROLE-7;Angular, Java
ROLE-8;AWS, BigData, Java
ROLE-9;Cloud - Software Tools - Other, Java, Microservices, TDD methodology
ROLE-10;Java, Microservices, Multithreading, Spring Boot
ROLE-11;Java 2 Enterprise Edition, Kubernetes, RESTful, Spring Boot, Spring Framework
ROLE-12;Angular, Java
ROLE-13;Java, Web Servers
ROLE-14;Java, Web Servers
ROLE-15;Java, Linux, Troubleshooting
ROLE-16;Java, Web Servers
ROLE-17;AngularJS, Apache Maven, Big Data, Java, RESTful
ROLE-18;Java, Spring Boot
ROLE-19;Java, MongoDB, REST, Spring Boot, SQL
ROLE-20;Java, Microservices, Spring Boot
ROLE-21;Jasper, Java, Spring Boot
ROLE-22;Java, Spring Framework
ROLE-23;Apache Maven, Java, Mock, Unit Testing, Web Services
ROLE-24;Java, SQL
ROLE-25;Apache Kafka, Java, Kafa, Kafka Streams, Kotlin
ROLE-26;Angular, Java, Microservices, React, Spring Boot
ROLE-27;FIX, Java, Microservices, Spring Framework
ROLE-28;Java, Oracle, SQL
ROLE-29;Java 11, Message Broker, Microservices, REST API, Spring Boot
ROLE-30;Java, Python
ROLE-31;Java, Web Services
ROLE-32;Google Cloud Spanner, Java, Kubernetes, Microservices, RabbitMQ
ROLE-33;Java, Spring Boot, SQL
ROLE-34;Full Stack, Java
ROLE-35;Java, Spring Boot
ROLE-36;Hibernate, Java 11, REST API, Spring Framework, SQL
ROLE-37;Java, Microservices
ROLE-38;Java 8, REST, Spring Boot
ROLE-39;Java, Microservices, REST WS, Spring Boot, Spring Security
ROLE-40;Back End, Java, JPA, Spring Framework, SQL
